download,upload,ping,time
68502862.81026423,6400995.275800541,18.911,2020-10-07 05:48:49.439459
59320788.26480389,6446973.900805006,15.391,2020-10-07 05:53:49.429601
66833479.31718785,6456493.945973399,23.66,2020-10-07 05:58:49.391463
63034906.073235765,6487514.638409782,20.429,2020-10-07 06:03:49.776767
66119670.50603447,6450399.582875023,24.344,2020-10-07 06:08:49.263236
54194742.65158335,6557502.319285923,20.381,2020-10-07 06:13:49.796239
66393341.64658585,6425776.491479073,19.877,2020-10-07 06:18:50.064884
67159016.04739001,6382092.388333443,19.429,2020-10-07 06:23:49.525878
54392134.034740485,6563996.395439426,22.678,2020-10-07 06:28:49.288239
39131813.1136333,6449060.850439563,25.227,2020-10-07 06:33:50.776329
52410031.715704195,6267836.341678116,23.369,2020-10-07 06:38:50.004540
55711911.62325327,6441708.347014405,31.802,2020-10-07 06:43:49.680693
61989428.677227244,6486499.245148377,23.076,2020-10-07 06:48:49.202631
55811361.86028663,6349145.198659012,23.954,2020-10-07 06:53:49.397898
59181392.36109482,6311450.75527295,24.526,2020-10-07 06:58:49.780368
67125208.63983794,6460334.658442134,14.024,2020-10-07 07:03:49.474497
53150824.23372119,6522365.082237399,29.347,2020-10-07 07:08:49.410455
54093041.47735133,6322001.779876874,20.952,2020-10-07 07:13:49.654903
65582072.782008365,6577365.245207573,23.079,2020-10-07 07:18:49.835966
50479114.725433156,6242827.243222201,23.128,2020-10-07 07:23:49.579079
62174817.60240853,6474719.149777566,20.166,2020-10-07 07:28:49.621721
55956126.49153363,6405898.7152698785,26.324,2020-10-07 07:33:49.761869
68579920.14342198,6626881.736093946,23.157,2020-10-07 07:38:49.211014
64496310.737679474,6487396.995631977,23.238,2020-10-07 07:43:49.452630
68888975.12033413,6542098.290712568,23.039,2020-10-07 07:48:49.984975
62901634.89470665,6558973.478063412,23.496,2020-10-07 07:53:49.267070
64874557.60119043,6427897.162660688,22.829,2020-10-07 07:58:49.502617
49661598.7111655,6589826.219802357,23.002,2020-10-07 08:03:49.374050
51155895.69782406,6614912.777145676,22.955,2020-10-07 08:08:49.402300
59355911.8984541,6479726.845119049,23.813,2020-10-07 08:13:49.345135
58606323.003346786,6447464.665407616,19.833,2020-10-07 08:18:49.311747
45498639.82484205,6618379.8765468225,23.002,2020-10-07 08:23:50.081042
